mission,yearmon,month,year,unsc_resolution,peaceag_cease_monitor,buffer_monitor,liaise_warpart,goodoffices,peaceag_cease_assist,humrts_monitor,refugees_monitor,humrts_protect,children_protect,women_protect,prociv,unpersonnel_protect,demining_assist,refugees_assist,humaid_assist,humpersonnel_protect,borders_monitor,weaponstrade_monitor,weaponsembargo_monitor,cargoinspections,resources_monitor,ch7,election_monitor,election_security,election_assist,govcap_assist,cultural_pres,qip_assist,justice_assist,securitysectorreform_assist,policereform_assist,police_monitor,police_jointpatrols,reconciliation,justice_warcrim,ddr_monitor,ddr_assist,mission_pr,freepress,au_coop,eu_coop,undp_coop,ecowas_coop,jmc_coop,othermission_coop,oas_coop,osce_coop,cis_coop,coop_other,ccode,ccode2,ccode3,ccode4,ccode5,region,subtasks,totaltasks,numtasks,pkratio,vlimratio,pbratio,factor1,factor2,factor3,missionen,govpolicies_assist
DOMREP,79,8,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,77,6,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,80,9,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,69,10,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,78,7,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,68,9,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,65,6,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,81,10,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,74,3,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,66,7,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,76,5,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,67,8,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,71,12,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,72,1,1966,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,64,5,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
DOMREP,70,11,1965,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,North and South America,0,2,2,.5,.5,0,-.85212791,-.55929697,-.62591416,DOMREP,0
